time	V(outa)	V(outb)
0.000000000000000e+00	2.289965e+01	8.241651e-04
1.999999992008394e-12	2.289965e+01	8.241651e-04
3.999999984016789e-12	2.289965e+01	8.241651e-04
7.999999968033578e-12	2.289965e+01	8.241651e-04
1.599999993606716e-11	2.289965e+01	8.241651e-04
3.199999987213431e-11	2.289965e+01	8.241651e-04
6.399999974426862e-11	2.289965e+01	8.241651e-04
1.279999994885372e-10	2.289965e+01	8.241651e-04
2.559999989770745e-10	2.289965e+01	8.241651e-04
5.119999979541490e-10	2.289965e+01	8.241651e-04
1.023999995908298e-09	2.289965e+01	8.241651e-04
2.047999991816596e-09	2.289965e+01	8.241651e-04
4.095999983633192e-09	2.289965e+01	8.241651e-04
1.638399993453277e-08	2.289965e+01	8.241651e-04
3.276799986906553e-08	2.289965e+01	8.241651e-04
6.553599973813107e-08	2.289965e+01	8.241651e-04
7.372799970539745e-08	2.289965e+01	8.241651e-04
7.381975681591718e-08	2.289965e+01	8.241651e-04
7.400327103695664e-08	2.289965e+01	8.241651e-04
7.437029947903556e-08	2.289965e+01	8.241651e-04
7.458830496584280e-08	2.289965e+01	8.241651e-04
7.473809689970379e-08	2.289965e+01	8.241651e-04
7.483848052754087e-08	2.289965e+01	8.241651e-04
7.490603022070625e-08	2.289965e+01	8.241651e-04
7.495145442599860e-08	2.289965e+01	8.241651e-04
7.498200365235296e-08	2.289965e+01	8.241651e-04
7.500306691953218e-08	2.289965e+01	8.241651e-04
7.501169522220308e-08	2.289965e+01	8.241651e-04
7.501994303051756e-08	2.289965e+01	8.241651e-04
7.503339839972097e-08	2.289965e+01	8.241651e-04
7.505527502004347e-08	2.289965e+01	8.241651e-04
7.509902826068846e-08	2.289965e+01	8.241651e-04
7.518653474197844e-08	2.289965e+01	8.241651e-04
7.536154770455840e-08	2.289965e+01	8.241651e-04
7.571157362971832e-08	2.289965e+01	8.241651e-04
7.641162548003815e-08	2.289965e+01	8.241651e-04
7.781172918067781e-08	2.289965e+01	8.241651e-04
8.061193658195715e-08	2.289965e+01	8.241651e-04
8.621235138451582e-08	2.289965e+01	8.241651e-04
9.116944957730280e-08	2.289964e+01	8.241651e-04
9.794742896061947e-08	2.289963e+01	8.241651e-04
9.836885061994169e-08	2.289963e+01	8.241651e-04
9.879021128857459e-08	2.289963e+01	8.241651e-04
9.939210769265254e-08	2.289962e+01	8.241651e-04
1.002766049692217e-07	2.289962e+01	8.241651e-04
1.017934003397894e-07	2.289961e+01	8.241651e-04
1.044946050641408e-07	2.289960e+01	8.241651e-04
1.207018334102494e-07	2.289949e+01	8.241651e-04
1.423114712050607e-07	2.289921e+01	8.241651e-04
1.855307467946835e-07	2.287960e+01	8.241651e-04
2.719692979739290e-07	1.741946e+00	8.241651e-04
3.719692979739290e-07	1.521928e-03	8.241651e-04
4.314264476484825e-07	8.248829e-04	8.241651e-04
4.932320290052313e-07	8.241651e-04	8.241651e-04
5.011200736071111e-07	8.241651e-04	8.241651e-04
5.417471368740070e-07	8.241651e-04	8.241651e-04
5.823742001409027e-07	8.241651e-04	8.241651e-04
6.230012634077985e-07	8.241651e-04	8.241651e-04
6.636283266746943e-07	8.241651e-04	8.241651e-04
7.042553899415901e-07	8.241651e-04	8.241651e-04
7.448824532084860e-07	8.241651e-04	8.241651e-04
7.855095164753816e-07	8.241651e-04	8.241651e-04
9.855095164753817e-07	8.241651e-04	8.241651e-04
1.185509516475382e-06	8.241651e-04	8.241651e-04
1.385509516475382e-06	8.241651e-04	8.241651e-04
1.585509516475382e-06	8.241651e-04	8.241651e-04
1.785509516475383e-06	8.241651e-04	8.241651e-04
1.985509516475383e-06	8.241651e-04	8.241651e-04
2.185509516475382e-06	8.241651e-04	8.241651e-04
2.385509516475382e-06	8.241651e-04	8.241651e-04
2.585509516475382e-06	8.241651e-04	8.241651e-04
2.785509516475382e-06	8.241651e-04	8.241651e-04
2.985509516475381e-06	8.241651e-04	8.241651e-04
3.185509516475381e-06	8.241651e-04	8.241651e-04
3.385509516475381e-06	8.241651e-04	8.241651e-04
3.585509516475381e-06	8.241651e-04	8.241651e-04
3.785509516475381e-06	8.241651e-04	8.241651e-04
3.985509516475381e-06	8.241651e-04	8.241651e-04
4.185509516475381e-06	8.241651e-04	8.241651e-04
4.385509516475380e-06	8.241651e-04	8.241651e-04
4.585509516475380e-06	8.241651e-04	8.241651e-04
4.685509516475380e-06	8.241651e-04	8.241651e-04
4.785509516475380e-06	8.241651e-04	8.241651e-04
4.798009516475380e-06	8.241651e-04	8.241651e-04
4.823009516475380e-06	8.241651e-04	8.241651e-04
4.829259516475380e-06	8.241651e-04	8.241651e-04
4.841759516475380e-06	8.241651e-04	8.241651e-04
4.844782465131481e-06	8.241651e-04	8.241651e-04
4.847635765122795e-06	8.241651e-04	8.241651e-04
4.851776994291486e-06	8.241651e-04	8.241651e-04
4.857162956807770e-06	8.241651e-04	8.241724e-04
4.867934881840338e-06	8.241651e-04	8.243149e-04
4.889478731905474e-06	8.241651e-04	8.254061e-04
4.932566432035746e-06	8.241651e-04	1.176893e-03
5.018741832296289e-06	8.241651e-04	4.441837e-01
5.118741832296289e-06	8.241651e-04	2.287729e+01
5.201038459422669e-06	8.241651e-04	2.289939e+01
6.380661296330810e-06	8.241651e-04	2.289950e+01
7.560284133238952e-06	8.241651e-04	2.289959e+01
8.739906970147093e-06	8.241651e-04	2.289966e+01
9.919529807055233e-06	8.241651e-04	2.289970e+01
1.109915264396338e-05	8.241651e-04	2.289971e+01
1.227877548087152e-05	8.241651e-04	2.289969e+01
1.345839831777966e-05	8.241651e-04	2.289965e+01
1.348339831777966e-05	8.241651e-04	2.289965e+01
1.348964831777966e-05	8.241651e-04	2.289965e+01
1.348971832168591e-05	8.241651e-04	2.289965e+01
1.348985832949841e-05	8.241651e-04	2.289965e+01
1.349013834512341e-05	8.241651e-04	2.289965e+01
1.349069837637341e-05	8.241651e-04	2.289965e+01
1.349086857827140e-05	8.241651e-04	2.289965e+01
1.349094408456225e-05	8.241651e-04	2.289965e+01
1.349101631838178e-05	8.241651e-04	2.289965e+01
1.349108575083364e-05	8.241651e-04	2.289965e+01
1.349120978066641e-05	8.241651e-04	2.289965e+01
1.349141592534944e-05	8.241651e-04	2.289965e+01
1.349182821471550e-05	8.241651e-04	2.289965e+01
1.349265279344762e-05	8.241651e-04	2.289965e+01
1.349430195091185e-05	8.241651e-04	2.289965e+01
1.349760026584032e-05	8.241651e-04	2.289965e+01
1.350419689569725e-05	8.241651e-04	2.289965e+01
1.350845702761321e-05	8.241651e-04	2.289964e+01
1.351112606400289e-05	8.241651e-04	2.289964e+01
1.351258771522288e-05	8.241651e-04	2.289963e+01
1.351349745950096e-05	8.241651e-04	2.289963e+01
1.351401630209637e-05	8.241651e-04	2.289963e+01
1.351447067697982e-05	8.241651e-04	2.289963e+01
1.351493033281332e-05	8.241651e-04	2.289963e+01
1.351545885424148e-05	8.241651e-04	2.289962e+01
1.351619678541410e-05	8.241651e-04	2.289962e+01
1.351732331863665e-05	8.241651e-04	2.289962e+01
1.351922643473352e-05	8.241651e-04	2.289961e+01
1.352277521949732e-05	8.241651e-04	2.289959e+01
1.352987278902494e-05	8.241651e-04	2.289954e+01
1.354406792808016e-05	8.241651e-04	2.289935e+01
1.357245820619061e-05	8.241651e-04	2.289774e+01
1.362923876241151e-05	8.241651e-04	2.258840e+01
1.372923876241151e-05	8.241651e-04	2.015599e-02
1.382923876241151e-05	8.241651e-04	8.297288e-04
1.393069468267088e-05	8.241651e-04	8.241651e-04
